name,phone,city,postal_code,state,phone_valid,phone_line_type,phone_carrier
"Perfect Roofing, Inc.",+1 302-743-1968,Newark,19713,Delaware,True,mobile,VERIZON WIRELESS
Delaware Roofing Contractor,+1 302-563-0352,Newark,19713,Delaware,True,mobile,T-MOBILE
All Roofing Solutions,+1 302-740-7727,Newark,19713,Delaware,True,mobile,AT&T MOBILITY
JKR Roofing and Renovations,+1 302-407-9596,Newark,19713,Delaware,True,mobile,T-MOBILE
CMS ROOFING CONTRACTOR,+1 973-392-4494,Newark,07105,New Jersey,True,mobile,T-MOBILE
Brookside Contractors,+1 302-333-7722,Newark,19713,Delaware,True,mobile,VERIZON WIRELESS
Chito Roofing & Siding,+1 302-391-0701,Newark,19713,Delaware,True,mobile,T-MOBILE
Cascante All Construction,+1 302-228-0835,,,,True,mobile,T-MOBILE
Delaware Construction Services,+1 302-379-5808,Newark,19702,Delaware,True,mobile,VERIZON WIRELESS
"ALL RESTORE CORP Roofing, Siding +",+1 973-519-0984,Newark,07105,New Jersey,True,mobile,T-MOBILE
Newark Roofing Contractors,+1 862-206-5215,Newark,07103,New Jersey,True,mobile,TELNYX
Rock Roof,+1 302-757-2350,Wilmington,19807,Delaware,True,mobile,VERIZON WIRELESS
Hard Hatters Roofing Services,+1 302-766-3611,Wilmington,19804,Delaware,True,mobile,AT&T MOBILITY
All Roofing Solutions,+1 302-725-7663,Wilmington,19804,Delaware,True,mobile,AT&T MOBILITY
Apple Remodeling,+1 302-333-7395,Townsend,19734,Delaware,True,mobile,VERIZON WIRELESS
Elliott's Don't Move Improve,+1 302-540-8248,Newark,19711,Delaware,True,mobile,T-MOBILE
De Barr & Sons Home Improvement,+1 302-548-1943,Newark,19711,Delaware,True,mobile,VERIZON WIRELESS
All Safe Roofing & Gutters,+1 732-589-1753,Newark,07114,New Jersey,True,mobile,T-MOBILE
Top Construction III,+1 302-562-2123,Newark,19713,Delaware,True,mobile,T-MOBILE
Leo's Roofing,+1 973-392-7788,Newark,07105,New Jersey,True,mobile,T-MOBILE
Michael A. Rumps Concrete & Construction.,+1 302-377-8490,Newark,19713,Delaware,True,mobile,T-MOBILE
Supreme Exterior Care,+1 304-640-4003,,,,True,mobile,VERIZON WIRELESS
Jarochos GC Roofing Specialist,+1 443-553-6104,Elkton,21921,Maryland,True,mobile,VERIZON WIRELESS
RG Construction,+1 302-750-3030,,,,True,mobile,VERIZON WIRELESS
"RepairTo Roofing, Renovations & Repairs",+1 302-464-3171,Wilmington,19805,Delaware,True,mobile,T-MOBILE
Wilmington City Roofing,+1 302-588-1862,New Castle,19720,Delaware,True,mobile,VERIZON WIRELESS
A Plus Roofing & Construction,+1 302-765-7878,Wilmington,19805,Delaware,True,mobile,T-MOBILE
Atlas Construction,+1 302-267-6173,Wilmington,19899,Delaware,True,mobile,AT&T MOBILITY
Jordan Roofing and Remodel,+1 302-565-8120,,,,True,mobile,T-MOBILE
R C Roofing & More by Ruiz Construction,+1 302-218-3582,Wilmington,19808,Delaware,True,mobile,AT&T MOBILITY
"BluDog ROOFING,",+1 302-510-9356,Wilmington,19804,DE,True,mobile,VERIZON WIRELESS
J.W. Tull Contracting Services,+1 302-494-8179,Wilmington,19809,Delaware,True,mobile,VERIZON WIRELESS
Roof Rite,+1 302-575-7807,Wilmington,19808,Delaware,True,mobile,VERIZON WIRELESS
Alvarez Construction,+1 302-333-8879,,,,True,mobile,T-MOBILE
Advance Flat Roof Solutions,+1 302-241-3109,Wilmington,19802,Delaware,True,mobile,T-MOBILE
Hurlock Roofing Company,+1 302-723-2251,Wilmington,19804,Delaware,True,mobile,T-MOBILE
MDP Exteriors,+1 302-399-6148,,,,True,mobile,T-MOBILE
American Gutter & Exteriors,+1 302-333-4533,Wilmington,19803,Delaware,True,mobile,AT&T MOBILITY
Paco’s Roofing,+1 302-345-6788,,,,True,mobile,T-MOBILE
"Scots Pine Construction,",+1 215-490-8682,,,,True,mobile,VERIZON WIRELESS
MasterCraft Contracting,+1 302-480-4811,Wilmington,19806,Delaware,True,mobile,AT&T MOBILITY
Cesar's roofing,+1 302-287-5412,Wilmington,19808,Delaware,True,mobile,AT&T MOBILITY
JDAC Enterprises,+1 302-299-2537,,,,True,mobile,AT&T MOBILITY
T.I.A. Contractors & Home Improvement,+1 267-483-7291,,,,True,mobile,AT&T MOBILITY
First State Roofing & Exteriors Co.,+1 302-222-4065,Smyrna,19977,Delaware,True,mobile,VERIZON WIRELESS
E. Baumann Contracting,+1 302-824-3765,,,,True,mobile,VERIZON WIRELESS
Howard Siding & Roofing,+1 302-898-1911,,,,True,mobile,VERIZON WIRELESS
A. Parker Contracting,+1 302-377-1193,Bear,19701,Delaware,True,mobile,VERIZON WIRELESS
Vision Creators,+1 302-252-5558,,,,True,mobile,T-MOBILE
Roof Rite,+1 302-514-7663,Dewey Beach,19971,Delaware,True,mobile,VERIZON WIRELESS
R&L Home Improvements,+1 443-907-6581,,,,True,mobile,VERIZON WIRELESS
Rames Roof,+1 302-530-2142,,,,True,mobile,VERIZON WIRELESS
True Blue Pro Wash,+1 302-757-9755,,,,True,mobile,T-MOBILE
Custom Design Contracting,+1 302-333-0547,,,,True,mobile,AT&T MOBILITY
Guardian Roof and Repair,+1 302-357-6081,Port Penn,19731,Delaware,True,mobile,T-MOBILE
J.W. Tull Roofing Contractor,+1 484-459-4968,Garnet Valley,19060,Pennsylvania,True,mobile,VERIZON WIRELESS
"MARSHALL CONSTRUCTION,",+1 302-218-2469,,,,True,mobile,AT&T MOBILITY
DBF General Contracting,+1 302-420-7652,Wilmington,19801,Delaware,True,mobile,T-MOBILE
W&G USA TREE EXPERTS,+1 302-507-6854,Wilmington,19801,Delaware,True,mobile,T-MOBILE
All Roofing Solutions,+1 610-551-7663,Media,19063,Pennsylvania,True,mobile,AT&T MOBILITY
DG Maintenance Services,+1 302-420-3403,,,,True,mobile,T-MOBILE
SERVPRO of Hockessin / Elsmere,+1 302-992-0104,Wilmington,19804,Delaware,True,mobile,VERIZON WIRELESS
Sammy's Home Improvement,+1 302-553-3178,,,,True,mobile,VERIZON WIRELESS
Golden Tree Service,+1 302-553-6478,,,,True,mobile,VERIZON WIRELESS
Benoit Home Improvements,+1 302-409-9869,Wilmington,19808,Delaware,True,mobile,T-MOBILE
"Shingle Express, Inc.",+1 302-824-5793,Landenberg,19350,Pennsylvania,True,mobile,T-MOBILE
Wilmington Roofing Company,+1 910-622-3225,Wilmington,28412,North Carolina,True,mobile,VERIZON WIRELESS
SERVPRO of Brandywine / Wilmington,+1 302-762-8080,Wilmington,19804,Delaware,True,mobile,VERIZON WIRELESS
Matt C Home Improvements,+1 302-494-8844,,,,True,mobile,T-MOBILE
Panaro Construction,+1 302-300-0684,Newark,19713,Delaware,True,mobile,T-MOBILE
Roof USA,+1 302-897-0542,,,,True,mobile,T-MOBILE
ROOFING SIDING ACERO,+1 201-256-5730,Newark,07105,New Jersey,True,mobile,VERIZON WIRELESS
Pro Contractors Tree Removal and Handyman,+1 302-894-2611,,,,True,mobile,T-MOBILE
No Pressure Cleaning Solutions,+1 302-489-9462,Newark,19711,Delaware,True,mobile,T-MOBILE
Center Line Roofing,+1 302-766-1720,,,,True,mobile,AT&T MOBILITY
Don's Power Washing,+1 302-482-5065,Newark,19713,Delaware,True,mobile,AT&T MOBILITY
HRL Exteriors,+1 302-363-8906,Newark,19702,Delaware,True,mobile,T-MOBILE
All In One Home Repairs,+1 302-897-3845,Middletown,19709,Delaware,True,mobile,T-MOBILE
NV Contracting,+1 302-379-3062,,,,True,mobile,VERIZON WIRELESS
J.L. General Remodeling,+1 302-559-5523,,,,True,mobile,T-MOBILE
REVERDITO HOMES,+1 302-383-1993,,,,True,mobile,AT&T MOBILITY
R. Short Roofing,+1 302-592-1952,Townsend,19734,Delaware,True,mobile,VERIZON WIRELESS
North Wilmington Exteriors,+1 302-463-3593,,,,True,mobile,T-MOBILE
Roofnado,+1 843-735-1773,Wilmington,19801,Delaware,True,mobile,AT&T MOBILITY
Progressive Services Inc,+1 302-658-7260,Wilmington,19805,Delaware,True,mobile,VERIZON WIRELESS
Stewart Construction.,+1 302-275-8768,,,,True,mobile,VERIZON WIRELESS
On The Move Home Improved,+1 302-753-0966,,,,True,mobile,AT&T MOBILITY
Legion Home Services,+1 267-562-3020,Wilmington,19803,Delaware,True,mobile,T-MOBILE
Reliable Maintenance,+1 302-333-6444,Wilmington,19809,Delaware,True,mobile,AT&T MOBILITY
Chilimidos Construction,+1 302-388-1880,Wilmington,19805,Delaware,True,mobile,AT&T MOBILITY
PW Construction,+1 302-298-5357,,,,True,mobile,VERIZON WIRELESS
Frank Costa Construction & Handyman Services,+1 302-561-5792,,,,True,mobile,AT&T MOBILITY
"Lords Renovation and Repairs,",+1 302-650-7272,Wilmington,19809,Delaware,True,mobile,VERIZON WIRELESS
TSSGlass,+1 302-547-4390,Wilmington,19805,Delaware,True,mobile,VERIZON WIRELESS
Hagerty's Roofing,+1 302-650-3474,,,,True,mobile,VERIZON WIRELESS
Swedemount Roofing & Siding,+1 862-220-3662,Newark,07104,New Jersey,True,mobile,T-MOBILE
Evans General Contracting,+1 302-540-9753,,,,True,mobile,VERIZON WIRELESS
Alpha Construction,+1 302-415-9840,,,,True,mobile,VERIZON WIRELESS
NA HOME IMPROVEMENT L.L.C.,+1 862-849-7437,Newark,07103,New Jersey,True,mobile,T-MOBILE
LAC Construction,+1 302-522-7765,,,,True,mobile,T-MOBILE
Mendoza Contractor,+1 302-983-5704,,,,True,mobile,VERIZON WIRELESS
James Parker Contracting,+1 302-304-2300,,,,True,mobile,VERIZON WIRELESS
Thunder Exteriors Services,+1 302-521-7508,,,,True,mobile,T-MOBILE
Padilla Konstruction,+1 302-276-6678,,,,True,mobile,T-MOBILE
Macedo Pro Construction,+1 302-383-8177,Wilmington,19808,Delaware,True,mobile,T-MOBILE
Foster and Sons Custom Builders,+1 302-275-1431,,,,True,mobile,T-MOBILE
Jaws Contracting and Renovations,+1 302-332-8494,,,,True,mobile,VERIZON WIRELESS
GMA Home Improvements,+1 302-743-6002,,,,True,mobile,AT&T MOBILITY
Tony C. General Construction,+1 973-392-8505,,,,True,mobile,T-MOBILE
Astute General Contracting,+1 302-383-4942,,,,True,mobile,VERIZON WIRELESS
Hart Home Improvements,+1 302-415-4764,Wilmington,19808,Delaware,True,mobile,AT&T MOBILITY
"Newman Waterproofing,",+1 302-373-7579,,,,True,mobile,T-MOBILE
"Always There Remodeling,",+1 302-598-9788,,,,True,mobile,AT&T MOBILITY
